Dates,Stations,Counties,idStation,Province,utmx,utmy,CodeParameter,CodeValidation,NameParameter,Units,Value,altitude,idEstacion,lat,lon
2010-03-24T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,81.0,305.0,50500,42.88659,-8.521138
2010-03-25T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,79.0,305.0,50500,42.88659,-8.521138
2010-03-26T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,74.0,305.0,50500,42.88659,-8.521138
2010-03-27T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,77.0,305.0,50500,42.88659,-8.521138
2010-03-28T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,77.0,305.0,50500,42.88659,-8.521138
2010-03-29T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,83.0,305.0,50500,42.88659,-8.521138
2010-03-30T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,80.0,305.0,50500,42.88659,-8.521138
2010-03-31T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,80.0,305.0,50500,42.88659,-8.521138
2023-01-16T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,98.0,305.0,50500,42.88659,-8.521138
2010-05-01T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,80.0,305.0,50500,42.88659,-8.521138
2010-05-02T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,71.0,305.0,50500,42.88659,-8.521138
2010-05-03T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,71.0,305.0,50500,42.88659,-8.521138
2010-05-04T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,63.0,305.0,50500,42.88659,-8.521138
2010-05-05T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,9,Humidade relativa media a 15m,%,-9999.0,305.0,50500,42.88659,-8.521138
2010-05-06T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,9,Humidade relativa media a 15m,%,-9999.0,305.0,50500,42.88659,-8.521138
2010-05-07T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,82.0,305.0,50500,42.88659,-8.521138
2010-05-08T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,87.0,305.0,50500,42.88659,-8.521138
2010-05-09T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,86.0,305.0,50500,42.88659,-8.521138
2010-05-10T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,84.0,305.0,50500,42.88659,-8.521138
2010-05-11T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,76.0,305.0,50500,42.88659,-8.521138
2010-05-12T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,81.0,305.0,50500,42.88659,-8.521138
2010-05-13T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,68.0,305.0,50500,42.88659,-8.521138
2010-05-14T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,81.0,305.0,50500,42.88659,-8.521138
2010-05-15T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,69.0,305.0,50500,42.88659,-8.521138
2010-05-16T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,69.0,305.0,50500,42.88659,-8.521138
2010-05-17T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,61.0,305.0,50500,42.88659,-8.521138
2010-05-18T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,55.0,305.0,50500,42.88659,-8.521138
2010-05-19T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,52.0,305.0,50500,42.88659,-8.521138
2010-05-20T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,48.0,305.0,50500,42.88659,-8.521138
2010-05-21T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,42.0,305.0,50500,42.88659,-8.521138
2010-05-22T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,47.0,305.0,50500,42.88659,-8.521138
2010-05-23T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,57.0,305.0,50500,42.88659,-8.521138
2010-05-24T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,70.0,305.0,50500,42.88659,-8.521138
2010-05-25T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,85.0,305.0,50500,42.88659,-8.521138
2010-05-26T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,81.0,305.0,50500,42.88659,-8.521138
2010-05-27T00:00:00,Santiago-San Lázaro,SANTIAGO DE COMPOSTELA,50500,A Coruña,539103.0,4748332.0,HR_AVG_15m,1,Humidade relativa media a 15m,%,81.0,305.0,50500,42.88659,-8.521138
